,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
475589,20210219,varsityblues.universitytickets.com,https://varsityblues.universitytickets.com/w/event.aspx?id=1742&r=a905b9ef0b1946a3ac518122cc7fd04f,text/html,text/html,en,"Toronto Varsity Blues - 2020 OUA Quigley Cup Semifinals  Skip to main content Toggle navigation Menu Log In/Register General Public Why are accounts needed? Site Logo Site Logo Ticket Office Home(current) Register Log In / Register For your security, you have been logged out due to inactivity. Please log in again. General Public Why are accounts needed? Ticket Office Home(current) More Close View As Bar View as Select User Type Adult Senior (65+) Youth (10-17) Non U of T Student-ID req. Children (9 and under) U of T Student (Playoffs Only) U of T Alumni U of T Faculty/Staff KPE Faculty/Staff Head Coach Pass Blues Coach Pass M B-Ball Pass W B-Ball Pass Football Player Pass M Hockey Pass W Hockey Pass M V-Ball Pass W V-Ball Pass Performance Group Pass Group Adult Group Youth Tix4Kids Tix4Kids Chaperone COMP Adult COMP Youth Recruit Pass BACBG Community Outreach COMP BACBG Team COMP BACBG Sponsor COMP BACBG Partner COMP BACBG Staff COMP BACBG VIP COMP AllTicketTypes Football Camp Pass VIP Pass Subway Series Students BEP Corporate Table BEP Single Ticket BEP VIP Table TDSSAA Youth (12-17) SMCS Fan: Adult SMCS Fan: Student UCC Fan: Student UCC Fan: Adult Subway Series Staff U of T Students (Promo) customers. Login Welcome Log In Register Registration is required so we can send your receipt and notify you of any changes to your events. Email Email Email CAPS LOCK Password password 8–30 characters Contains at least one number Contains at least one capital letter Receive email updates for upcoming events? Please select an option. Email List Yes Yes Email List No No Register Log In Email email CAPS LOCK Password password Show Password Show Password Log In Need to register? Click here. Forgot Password? Have an account? Click here. Forgot Password Email email Back to Login Suspended Order × You have suspended items in your cart pending payment. Checkout Now Checkout Later Suspended Order × Complete your profile to view the suspended items in your cart. Continue Home > Volleyball > 2020 OUA Quigley Cup Semifinals (3/6/2020 4:00 PM) Toronto Varsity Blues Logging in before you add tickets to your cart will allow you to access any ticketing benefits that you may be entitled to. This Event is in the past and is no longer available for sale. 2020 OUA Quigley Cup Semifinals Volleyball Goldring Centre Friday, Mar 6, 2020 at 4:00 PM (ET) Non-U of T Students = $10 (available at box office only on game day. ID required) Children (9 and under) = Free Semifinal #1: TORONTO vs WESTERN @ 4:00 p.m. Semifinal #2: BROCK vs GUELPH @ 6:30 p.m. SPECTATORS GUIDE Share Via Email Facebook Twitter Delivery Methods are not properly configured. Please contact the administrator. Ticket Options OUA Quigley Cup Semifinals Ticket Type Price Quantity Adult $15.00 0 1 2 3 4 5 6 7 8 9 Senior (65+) $10.00 0 1 2 3 4 5 6 7 8 9 Youth (10-17) $10.00 0 1 2 3 4 5 6 7 8 9 LinkButton (416) 946-3811 blues.tickets@utoronto.ca AudienceView Campus AudienceView Campus Logo"
475597,20210219,varsityblues.universitytickets.com,https://varsityblues.universitytickets.com/w/event.aspx?id=1743&r=8a287ab3e35e4ce7bc9064f2740f7d6c,text/html,text/html,en,"Toronto Varsity Blues - 2020 OUA Quigley Cup Bronze & Gold Games  Skip to main content Toggle navigation Menu Log In/Register General Public Why are accounts needed? Site Logo Site Logo Ticket Office Home(current) Register Log In / Register For your security, you have been logged out due to inactivity. Please log in again. General Public Why are accounts needed? Ticket Office Home(current) More Close View As Bar View as Select User Type Adult Senior (65+) Youth (10-17) Non U of T Student-ID req. Children (9 and under) U of T Student (Playoffs Only) U of T Alumni U of T Faculty/Staff KPE Faculty/Staff Head Coach Pass Blues Coach Pass M B-Ball Pass W B-Ball Pass Football Player Pass M Hockey Pass W Hockey Pass M V-Ball Pass W V-Ball Pass Performance Group Pass Group Adult Group Youth Tix4Kids Tix4Kids Chaperone COMP Adult COMP Youth Recruit Pass BACBG Community Outreach COMP BACBG Team COMP BACBG Sponsor COMP BACBG Partner COMP BACBG Staff COMP BACBG VIP COMP AllTicketTypes Football Camp Pass VIP Pass Subway Series Students BEP Corporate Table BEP Single Ticket BEP VIP Table TDSSAA Youth (12-17) SMCS Fan: Adult SMCS Fan: Student UCC Fan: Student UCC Fan: Adult Subway Series Staff U of T Students (Promo) customers. Login Welcome Log In Register Registration is required so we can send your receipt and notify you of any changes to your events. Email Email Email CAPS LOCK Password password 8–30 characters Contains at least one number Contains at least one capital letter Receive email updates for upcoming events? Please select an option. Email List Yes Yes Email List No No Register Log In Email email CAPS LOCK Password password Show Password Show Password Log In Need to register? Click here. Forgot Password? Have an account? Click here. Forgot Password Email email Back to Login Suspended Order × You have suspended items in your cart pending payment. Checkout Now Checkout Later Suspended Order × Complete your profile to view the suspended items in your cart. Continue Home > Volleyball > 2020 OUA Quigley Cup Bronze & Gold Games (3/7/2020 4:00 PM) Toronto Varsity Blues Logging in before you add tickets to your cart will allow you to access any ticketing benefits that you may be entitled to. This Event is in the past and is no longer available for sale. 2020 OUA Quigley Cup Bronze & Gold Games Volleyball Goldring Centre Saturday, Mar 7, 2020 at 4:00 PM (ET) Non-U of T Students = $10 (available at box office only on game day. ID required) Children (9 and under) = Free BRONZE MEDAL GAME @ 4:00 p.m.: WESTERN vs GUELPH GOLD MEDAL GAME @ 6:30 p.m. TORONTO vs. BROCK SPECTATORS GUIDE Share Via Email Facebook Twitter Delivery Methods are not properly configured. Please contact the administrator. Ticket Options 2020 OUA Quigley Cup Ticket Type Price Quantity Adult $15.00 0 1 2 3 4 5 6 7 8 9 Senior (65+) $10.00 0 1 2 3 4 5 6 7 8 9 Youth (10-17) $10.00 0 1 2 3 4 5 6 7 8 9 LinkButton (416) 946-3811 blues.tickets@utoronto.ca AudienceView Campus AudienceView Campus Logo"
485852,20210226,varsityblues.universitytickets.com,https://varsityblues.universitytickets.com/w/event.aspx?id=1742&r=a905b9ef0b1946a3ac518122cc7fd04f,text/html,text/html,en,"Toronto Varsity Blues - 2020 OUA Quigley Cup Semifinals  Skip to main content Toggle navigation Menu Log In/Register General Public Why are accounts needed? Site Logo Site Logo Ticket Office Home(current) Register Log In / Register For your security, you have been logged out due to inactivity. Please log in again. General Public Why are accounts needed? Ticket Office Home(current) More Close View As Bar View as Select User Type Adult Senior (65+) Youth (10-17) Non U of T Student-ID req. Children (9 and under) U of T Student (Playoffs Only) U of T Alumni U of T Faculty/Staff KPE Faculty/Staff Head Coach Pass Blues Coach Pass M B-Ball Pass W B-Ball Pass Football Player Pass M Hockey Pass W Hockey Pass M V-Ball Pass W V-Ball Pass Performance Group Pass Group Adult Group Youth Tix4Kids Tix4Kids Chaperone COMP Adult COMP Youth Recruit Pass BACBG Community Outreach COMP BACBG Team COMP BACBG Sponsor COMP BACBG Partner COMP BACBG Staff COMP BACBG VIP COMP AllTicketTypes Football Camp Pass VIP Pass Subway Series Students BEP Corporate Table BEP Single Ticket BEP VIP Table TDSSAA Youth (12-17) SMCS Fan: Adult SMCS Fan: Student UCC Fan: Student UCC Fan: Adult Subway Series Staff U of T Students (Promo) customers. Login Welcome Log In Register Registration is required so we can send your receipt and notify you of any changes to your events. Email Email Email CAPS LOCK Password password 8–30 characters Contains at least one number Contains at least one capital letter Receive email updates for upcoming events? Please select an option. Email List Yes Yes Email List No No Register Log In Email email CAPS LOCK Password password Show Password Show Password Log In Need to register? Click here. Forgot Password? Have an account? Click here. Forgot Password Email email Back to Login Suspended Order × You have suspended items in your cart pending payment. Checkout Now Checkout Later Suspended Order × Complete your profile to view the suspended items in your cart. Continue Home > Volleyball > 2020 OUA Quigley Cup Semifinals (3/6/2020 4:00 PM) Toronto Varsity Blues Logging in before you add tickets to your cart will allow you to access any ticketing benefits that you may be entitled to. This Event is in the past and is no longer available for sale. 2020 OUA Quigley Cup Semifinals Volleyball Goldring Centre Friday, Mar 6, 2020 at 4:00 PM (ET) Non-U of T Students = $10 (available at box office only on game day. ID required) Children (9 and under) = Free Semifinal #1: TORONTO vs WESTERN @ 4:00 p.m. Semifinal #2: BROCK vs GUELPH @ 6:30 p.m. SPECTATORS GUIDE Share Via Email Facebook Twitter Delivery Methods are not properly configured. Please contact the administrator. Ticket Options OUA Quigley Cup Semifinals Ticket Type Price Quantity Adult $15.00 0 1 2 3 4 5 6 7 8 9 Senior (65+) $10.00 0 1 2 3 4 5 6 7 8 9 Youth (10-17) $10.00 0 1 2 3 4 5 6 7 8 9 LinkButton (416) 946-3811 blues.tickets@utoronto.ca AudienceView Campus AudienceView Campus Logo"
485856,20210226,varsityblues.universitytickets.com,https://varsityblues.universitytickets.com/w/event.aspx?id=1743&r=8a287ab3e35e4ce7bc9064f2740f7d6c,text/html,text/html,en,"Toronto Varsity Blues - 2020 OUA Quigley Cup Bronze & Gold Games  Skip to main content Toggle navigation Menu Log In/Register General Public Why are accounts needed? Site Logo Site Logo Ticket Office Home(current) Register Log In / Register For your security, you have been logged out due to inactivity. Please log in again. General Public Why are accounts needed? Ticket Office Home(current) More Close View As Bar View as Select User Type Adult Senior (65+) Youth (10-17) Non U of T Student-ID req. Children (9 and under) U of T Student (Playoffs Only) U of T Alumni U of T Faculty/Staff KPE Faculty/Staff Head Coach Pass Blues Coach Pass M B-Ball Pass W B-Ball Pass Football Player Pass M Hockey Pass W Hockey Pass M V-Ball Pass W V-Ball Pass Performance Group Pass Group Adult Group Youth Tix4Kids Tix4Kids Chaperone COMP Adult COMP Youth Recruit Pass BACBG Community Outreach COMP BACBG Team COMP BACBG Sponsor COMP BACBG Partner COMP BACBG Staff COMP BACBG VIP COMP AllTicketTypes Football Camp Pass VIP Pass Subway Series Students BEP Corporate Table BEP Single Ticket BEP VIP Table TDSSAA Youth (12-17) SMCS Fan: Adult SMCS Fan: Student UCC Fan: Student UCC Fan: Adult Subway Series Staff U of T Students (Promo) customers. Login Welcome Log In Register Registration is required so we can send your receipt and notify you of any changes to your events. Email Email Email CAPS LOCK Password password 8–30 characters Contains at least one number Contains at least one capital letter Receive email updates for upcoming events? Please select an option. Email List Yes Yes Email List No No Register Log In Email email CAPS LOCK Password password Show Password Show Password Log In Need to register? Click here. Forgot Password? Have an account? Click here. Forgot Password Email email Back to Login Suspended Order × You have suspended items in your cart pending payment. Checkout Now Checkout Later Suspended Order × Complete your profile to view the suspended items in your cart. Continue Home > Volleyball > 2020 OUA Quigley Cup Bronze & Gold Games (3/7/2020 4:00 PM) Toronto Varsity Blues Logging in before you add tickets to your cart will allow you to access any ticketing benefits that you may be entitled to. This Event is in the past and is no longer available for sale. 2020 OUA Quigley Cup Bronze & Gold Games Volleyball Goldring Centre Saturday, Mar 7, 2020 at 4:00 PM (ET) Non-U of T Students = $10 (available at box office only on game day. ID required) Children (9 and under) = Free BRONZE MEDAL GAME @ 4:00 p.m.: WESTERN vs GUELPH GOLD MEDAL GAME @ 6:30 p.m. TORONTO vs. BROCK SPECTATORS GUIDE Share Via Email Facebook Twitter Delivery Methods are not properly configured. Please contact the administrator. Ticket Options 2020 OUA Quigley Cup Ticket Type Price Quantity Adult $15.00 0 1 2 3 4 5 6 7 8 9 Senior (65+) $10.00 0 1 2 3 4 5 6 7 8 9 Youth (10-17) $10.00 0 1 2 3 4 5 6 7 8 9 LinkButton (416) 946-3811 blues.tickets@utoronto.ca AudienceView Campus AudienceView Campus Logo"
495972,20210305,varsityblues.universitytickets.com,https://varsityblues.universitytickets.com/w/event.aspx?id=1742&r=a905b9ef0b1946a3ac518122cc7fd04f,text/html,text/html,en,"Toronto Varsity Blues - 2020 OUA Quigley Cup Semifinals  Skip to main content Toggle navigation Menu Log In/Register General Public Why are accounts needed? Site Logo Site Logo Ticket Office Home(current) Register Log In / Register For your security, you have been logged out due to inactivity. Please log in again. General Public Why are accounts needed? Ticket Office Home(current) More Close View As Bar View as Select User Type Adult Senior (65+) Youth (10-17) Non U of T Student-ID req. Children (9 and under) U of T Student (Playoffs Only) U of T Alumni U of T Faculty/Staff KPE Faculty/Staff Head Coach Pass Blues Coach Pass M B-Ball Pass W B-Ball Pass Football Player Pass M Hockey Pass W Hockey Pass M V-Ball Pass W V-Ball Pass Performance Group Pass Group Adult Group Youth Tix4Kids Tix4Kids Chaperone COMP Adult COMP Youth Recruit Pass BACBG Community Outreach COMP BACBG Team COMP BACBG Sponsor COMP BACBG Partner COMP BACBG Staff COMP BACBG VIP COMP AllTicketTypes Football Camp Pass VIP Pass Subway Series Students BEP Corporate Table BEP Single Ticket BEP VIP Table TDSSAA Youth (12-17) SMCS Fan: Adult SMCS Fan: Student UCC Fan: Student UCC Fan: Adult Subway Series Staff U of T Students (Promo) customers. Login Welcome Log In Register Registration is required so we can send your receipt and notify you of any changes to your events. Email Email Email CAPS LOCK Password password 8–30 characters Contains at least one number Contains at least one capital letter Receive email updates for upcoming events? Please select an option. Email List Yes Yes Email List No No Register Log In Email email CAPS LOCK Password password Show Password Show Password Log In Need to register? Click here. Forgot Password? Have an account? Click here. Forgot Password Email email Back to Login Suspended Order × You have suspended items in your cart pending payment. Checkout Now Checkout Later Suspended Order × Complete your profile to view the suspended items in your cart. Continue Home > Volleyball > 2020 OUA Quigley Cup Semifinals (3/6/2020 4:00 PM) Toronto Varsity Blues Logging in before you add tickets to your cart will allow you to access any ticketing benefits that you may be entitled to. This Event is in the past and is no longer available for sale. 2020 OUA Quigley Cup Semifinals Volleyball Goldring Centre Friday, Mar 6, 2020 at 4:00 PM (ET) Non-U of T Students = $10 (available at box office only on game day. ID required) Children (9 and under) = Free Semifinal #1: TORONTO vs WESTERN @ 4:00 p.m. Semifinal #2: BROCK vs GUELPH @ 6:30 p.m. SPECTATORS GUIDE Share Via Email Facebook Twitter Delivery Methods are not properly configured. Please contact the administrator. Ticket Options OUA Quigley Cup Semifinals Ticket Type Price Quantity Adult $15.00 0 1 2 3 4 5 6 7 8 9 Senior (65+) $10.00 0 1 2 3 4 5 6 7 8 9 Youth (10-17) $10.00 0 1 2 3 4 5 6 7 8 9 LinkButton (416) 946-3811 blues.tickets@utoronto.ca AudienceView Campus AudienceView Campus Logo"
495979,20210305,varsityblues.universitytickets.com,https://varsityblues.universitytickets.com/w/event.aspx?id=1743&r=8a287ab3e35e4ce7bc9064f2740f7d6c,text/html,text/html,en,"Toronto Varsity Blues - 2020 OUA Quigley Cup Bronze & Gold Games  Skip to main content Toggle navigation Menu Log In/Register General Public Why are accounts needed? Site Logo Site Logo Ticket Office Home(current) Register Log In / Register For your security, you have been logged out due to inactivity. Please log in again. General Public Why are accounts needed? Ticket Office Home(current) More Close View As Bar View as Select User Type Adult Senior (65+) Youth (10-17) Non U of T Student-ID req. Children (9 and under) U of T Student (Playoffs Only) U of T Alumni U of T Faculty/Staff KPE Faculty/Staff Head Coach Pass Blues Coach Pass M B-Ball Pass W B-Ball Pass Football Player Pass M Hockey Pass W Hockey Pass M V-Ball Pass W V-Ball Pass Performance Group Pass Group Adult Group Youth Tix4Kids Tix4Kids Chaperone COMP Adult COMP Youth Recruit Pass BACBG Community Outreach COMP BACBG Team COMP BACBG Sponsor COMP BACBG Partner COMP BACBG Staff COMP BACBG VIP COMP AllTicketTypes Football Camp Pass VIP Pass Subway Series Students BEP Corporate Table BEP Single Ticket BEP VIP Table TDSSAA Youth (12-17) SMCS Fan: Adult SMCS Fan: Student UCC Fan: Student UCC Fan: Adult Subway Series Staff U of T Students (Promo) customers. Login Welcome Log In Register Registration is required so we can send your receipt and notify you of any changes to your events. Email Email Email CAPS LOCK Password password 8–30 characters Contains at least one number Contains at least one capital letter Receive email updates for upcoming events? Please select an option. Email List Yes Yes Email List No No Register Log In Email email CAPS LOCK Password password Show Password Show Password Log In Need to register? Click here. Forgot Password? Have an account? Click here. Forgot Password Email email Back to Login Suspended Order × You have suspended items in your cart pending payment. Checkout Now Checkout Later Suspended Order × Complete your profile to view the suspended items in your cart. Continue Home > Volleyball > 2020 OUA Quigley Cup Bronze & Gold Games (3/7/2020 4:00 PM) Toronto Varsity Blues Logging in before you add tickets to your cart will allow you to access any ticketing benefits that you may be entitled to. This Event is in the past and is no longer available for sale. 2020 OUA Quigley Cup Bronze & Gold Games Volleyball Goldring Centre Saturday, Mar 7, 2020 at 4:00 PM (ET) Non-U of T Students = $10 (available at box office only on game day. ID required) Children (9 and under) = Free BRONZE MEDAL GAME @ 4:00 p.m.: WESTERN vs GUELPH GOLD MEDAL GAME @ 6:30 p.m. TORONTO vs. BROCK SPECTATORS GUIDE Share Via Email Facebook Twitter Delivery Methods are not properly configured. Please contact the administrator. Ticket Options 2020 OUA Quigley Cup Ticket Type Price Quantity Adult $15.00 0 1 2 3 4 5 6 7 8 9 Senior (65+) $10.00 0 1 2 3 4 5 6 7 8 9 Youth (10-17) $10.00 0 1 2 3 4 5 6 7 8 9 LinkButton (416) 946-3811 blues.tickets@utoronto.ca AudienceView Campus AudienceView Campus Logo"
506408,20210312,varsityblues.universitytickets.com,https://varsityblues.universitytickets.com/w/event.aspx?id=1742&r=a905b9ef0b1946a3ac518122cc7fd04f,text/html,text/html,en,"Toronto Varsity Blues - 2020 OUA Quigley Cup Semifinals  Skip to main content Toggle navigation Menu Log In/Register General Public Why are accounts needed? Site Logo Site Logo Ticket Office Home(current) Register Log In / Register For your security, you have been logged out due to inactivity. Please log in again. General Public Why are accounts needed? Ticket Office Home(current) More Close View As Bar View as Select User Type Adult Senior (65+) Youth (10-17) Non U of T Student-ID req. Children (9 and under) U of T Student (Playoffs Only) U of T Alumni U of T Faculty/Staff KPE Faculty/Staff Head Coach Pass Blues Coach Pass M B-Ball Pass W B-Ball Pass Football Player Pass M Hockey Pass W Hockey Pass M V-Ball Pass W V-Ball Pass Performance Group Pass Group Adult Group Youth Tix4Kids Tix4Kids Chaperone COMP Adult COMP Youth Recruit Pass BACBG Community Outreach COMP BACBG Team COMP BACBG Sponsor COMP BACBG Partner COMP BACBG Staff COMP BACBG VIP COMP AllTicketTypes Football Camp Pass VIP Pass Subway Series Students BEP Corporate Table BEP Single Ticket BEP VIP Table TDSSAA Youth (12-17) SMCS Fan: Adult SMCS Fan: Student UCC Fan: Student UCC Fan: Adult Subway Series Staff U of T Students (Promo) customers. Login Welcome Log In Register Registration is required so we can send your receipt and notify you of any changes to your events. Email Email Email CAPS LOCK Password password 8–30 characters Contains at least one number Contains at least one capital letter Receive email updates for upcoming events? Please select an option. Email List Yes Yes Email List No No Register Log In Email email CAPS LOCK Password password Show Password Show Password Log In Need to register? Click here. Forgot Password? Have an account? Click here. Forgot Password Email email Back to Login Suspended Order × You have suspended items in your cart pending payment. Checkout Now Checkout Later Suspended Order × Complete your profile to view the suspended items in your cart. Continue Home > Volleyball > 2020 OUA Quigley Cup Semifinals (3/6/2020 4:00 PM) Toronto Varsity Blues Logging in before you add tickets to your cart will allow you to access any ticketing benefits that you may be entitled to. This Event is in the past and is no longer available for sale. 2020 OUA Quigley Cup Semifinals Volleyball Goldring Centre Friday, Mar 6, 2020 at 4:00 PM (ET) Non-U of T Students = $10 (available at box office only on game day. ID required) Children (9 and under) = Free Semifinal #1: TORONTO vs WESTERN @ 4:00 p.m. Semifinal #2: BROCK vs GUELPH @ 6:30 p.m. SPECTATORS GUIDE Share Via Email Facebook Twitter Delivery Methods are not properly configured. Please contact the administrator. Ticket Options OUA Quigley Cup Semifinals Ticket Type Price Quantity Adult $15.00 0 1 2 3 4 5 6 7 8 9 Senior (65+) $10.00 0 1 2 3 4 5 6 7 8 9 Youth (10-17) $10.00 0 1 2 3 4 5 6 7 8 9 LinkButton (416) 946-3811 blues.tickets@utoronto.ca AudienceView Campus AudienceView Campus Logo"
506415,20210312,varsityblues.universitytickets.com,https://varsityblues.universitytickets.com/w/event.aspx?id=1743&r=8a287ab3e35e4ce7bc9064f2740f7d6c,text/html,text/html,en,"Toronto Varsity Blues - 2020 OUA Quigley Cup Bronze & Gold Games  Skip to main content Toggle navigation Menu Log In/Register General Public Why are accounts needed? Site Logo Site Logo Ticket Office Home(current) Register Log In / Register For your security, you have been logged out due to inactivity. Please log in again. General Public Why are accounts needed? Ticket Office Home(current) More Close View As Bar View as Select User Type Adult Senior (65+) Youth (10-17) Non U of T Student-ID req. Children (9 and under) U of T Student (Playoffs Only) U of T Alumni U of T Faculty/Staff KPE Faculty/Staff Head Coach Pass Blues Coach Pass M B-Ball Pass W B-Ball Pass Football Player Pass M Hockey Pass W Hockey Pass M V-Ball Pass W V-Ball Pass Performance Group Pass Group Adult Group Youth Tix4Kids Tix4Kids Chaperone COMP Adult COMP Youth Recruit Pass BACBG Community Outreach COMP BACBG Team COMP BACBG Sponsor COMP BACBG Partner COMP BACBG Staff COMP BACBG VIP COMP AllTicketTypes Football Camp Pass VIP Pass Subway Series Students BEP Corporate Table BEP Single Ticket BEP VIP Table TDSSAA Youth (12-17) SMCS Fan: Adult SMCS Fan: Student UCC Fan: Student UCC Fan: Adult Subway Series Staff U of T Students (Promo) customers. Login Welcome Log In Register Registration is required so we can send your receipt and notify you of any changes to your events. Email Email Email CAPS LOCK Password password 8–30 characters Contains at least one number Contains at least one capital letter Receive email updates for upcoming events? Please select an option. Email List Yes Yes Email List No No Register Log In Email email CAPS LOCK Password password Show Password Show Password Log In Need to register? Click here. Forgot Password? Have an account? Click here. Forgot Password Email email Back to Login Suspended Order × You have suspended items in your cart pending payment. Checkout Now Checkout Later Suspended Order × Complete your profile to view the suspended items in your cart. Continue Home > Volleyball > 2020 OUA Quigley Cup Bronze & Gold Games (3/7/2020 4:00 PM) Toronto Varsity Blues Logging in before you add tickets to your cart will allow you to access any ticketing benefits that you may be entitled to. This Event is in the past and is no longer available for sale. 2020 OUA Quigley Cup Bronze & Gold Games Volleyball Goldring Centre Saturday, Mar 7, 2020 at 4:00 PM (ET) Non-U of T Students = $10 (available at box office only on game day. ID required) Children (9 and under) = Free BRONZE MEDAL GAME @ 4:00 p.m.: WESTERN vs GUELPH GOLD MEDAL GAME @ 6:30 p.m. TORONTO vs. BROCK SPECTATORS GUIDE Share Via Email Facebook Twitter Delivery Methods are not properly configured. Please contact the administrator. Ticket Options 2020 OUA Quigley Cup Ticket Type Price Quantity Adult $15.00 0 1 2 3 4 5 6 7 8 9 Senior (65+) $10.00 0 1 2 3 4 5 6 7 8 9 Youth (10-17) $10.00 0 1 2 3 4 5 6 7 8 9 LinkButton (416) 946-3811 blues.tickets@utoronto.ca AudienceView Campus AudienceView Campus Logo"
516491,20210319,varsityblues.universitytickets.com,https://varsityblues.universitytickets.com/w/event.aspx?id=1742&r=a905b9ef0b1946a3ac518122cc7fd04f,text/html,text/html,en,"Toronto Varsity Blues - 2020 OUA Quigley Cup Semifinals  Skip to main content Toggle navigation Menu Log In/Register General Public Why are accounts needed? Site Logo Site Logo Ticket Office Home(current) Register Log In / Register For your security, you have been logged out due to inactivity. Please log in again. General Public Why are accounts needed? Ticket Office Home(current) More Close View As Bar View as Select User Type Adult Senior (65+) Youth (10-17) Non U of T Student-ID req. Children (9 and under) U of T Student (Playoffs Only) U of T Alumni U of T Faculty/Staff KPE Faculty/Staff Head Coach Pass Blues Coach Pass M B-Ball Pass W B-Ball Pass Football Player Pass M Hockey Pass W Hockey Pass M V-Ball Pass W V-Ball Pass Performance Group Pass Group Adult Group Youth Tix4Kids Tix4Kids Chaperone COMP Adult COMP Youth Recruit Pass BACBG Community Outreach COMP BACBG Team COMP BACBG Sponsor COMP BACBG Partner COMP BACBG Staff COMP BACBG VIP COMP AllTicketTypes Football Camp Pass VIP Pass Subway Series Students BEP Corporate Table BEP Single Ticket BEP VIP Table TDSSAA Youth (12-17) SMCS Fan: Adult SMCS Fan: Student UCC Fan: Student UCC Fan: Adult Subway Series Staff U of T Students (Promo) customers. Login Welcome Log In Register Registration is required so we can send your receipt and notify you of any changes to your events. Email Email Email CAPS LOCK Password password 8–30 characters Contains at least one number Contains at least one capital letter Receive email updates for upcoming events? Please select an option. Email List Yes Yes Email List No No Register Log In Email email CAPS LOCK Password password Show Password Show Password Log In Need to register? Click here. Forgot Password? Have an account? Click here. Forgot Password Email email Back to Login Suspended Order × You have suspended items in your cart pending payment. Checkout Now Checkout Later Suspended Order × Complete your profile to view the suspended items in your cart. Continue Home > Volleyball > 2020 OUA Quigley Cup Semifinals (3/6/2020 4:00 PM) Toronto Varsity Blues Logging in before you add tickets to your cart will allow you to access any ticketing benefits that you may be entitled to. This Event is in the past and is no longer available for sale. 2020 OUA Quigley Cup Semifinals Volleyball Goldring Centre Friday, Mar 6, 2020 at 4:00 PM (ET) Non-U of T Students = $10 (available at box office only on game day. ID required) Children (9 and under) = Free Semifinal #1: TORONTO vs WESTERN @ 4:00 p.m. Semifinal #2: BROCK vs GUELPH @ 6:30 p.m. SPECTATORS GUIDE Share Via Email Facebook Twitter Delivery Methods are not properly configured. Please contact the administrator. Ticket Options OUA Quigley Cup Semifinals Ticket Type Price Quantity Adult $15.00 0 1 2 3 4 5 6 7 8 9 Senior (65+) $10.00 0 1 2 3 4 5 6 7 8 9 Youth (10-17) $10.00 0 1 2 3 4 5 6 7 8 9 LinkButton (416) 946-3811 blues.tickets@utoronto.ca AudienceView Campus AudienceView Campus Logo"
516496,20210319,varsityblues.universitytickets.com,https://varsityblues.universitytickets.com/w/event.aspx?id=1743&r=8a287ab3e35e4ce7bc9064f2740f7d6c,text/html,text/html,en,"Toronto Varsity Blues - 2020 OUA Quigley Cup Bronze & Gold Games  Skip to main content Toggle navigation Menu Log In/Register General Public Why are accounts needed? Site Logo Site Logo Ticket Office Home(current) Register Log In / Register For your security, you have been logged out due to inactivity. Please log in again. General Public Why are accounts needed? Ticket Office Home(current) More Close View As Bar View as Select User Type Adult Senior (65+) Youth (10-17) Non U of T Student-ID req. Children (9 and under) U of T Student (Playoffs Only) U of T Alumni U of T Faculty/Staff KPE Faculty/Staff Head Coach Pass Blues Coach Pass M B-Ball Pass W B-Ball Pass Football Player Pass M Hockey Pass W Hockey Pass M V-Ball Pass W V-Ball Pass Performance Group Pass Group Adult Group Youth Tix4Kids Tix4Kids Chaperone COMP Adult COMP Youth Recruit Pass BACBG Community Outreach COMP BACBG Team COMP BACBG Sponsor COMP BACBG Partner COMP BACBG Staff COMP BACBG VIP COMP AllTicketTypes Football Camp Pass VIP Pass Subway Series Students BEP Corporate Table BEP Single Ticket BEP VIP Table TDSSAA Youth (12-17) SMCS Fan: Adult SMCS Fan: Student UCC Fan: Student UCC Fan: Adult Subway Series Staff U of T Students (Promo) customers. Login Welcome Log In Register Registration is required so we can send your receipt and notify you of any changes to your events. Email Email Email CAPS LOCK Password password 8–30 characters Contains at least one number Contains at least one capital letter Receive email updates for upcoming events? Please select an option. Email List Yes Yes Email List No No Register Log In Email email CAPS LOCK Password password Show Password Show Password Log In Need to register? Click here. Forgot Password? Have an account? Click here. Forgot Password Email email Back to Login Suspended Order × You have suspended items in your cart pending payment. Checkout Now Checkout Later Suspended Order × Complete your profile to view the suspended items in your cart. Continue Home > Volleyball > 2020 OUA Quigley Cup Bronze & Gold Games (3/7/2020 4:00 PM) Toronto Varsity Blues Logging in before you add tickets to your cart will allow you to access any ticketing benefits that you may be entitled to. This Event is in the past and is no longer available for sale. 2020 OUA Quigley Cup Bronze & Gold Games Volleyball Goldring Centre Saturday, Mar 7, 2020 at 4:00 PM (ET) Non-U of T Students = $10 (available at box office only on game day. ID required) Children (9 and under) = Free BRONZE MEDAL GAME @ 4:00 p.m.: WESTERN vs GUELPH GOLD MEDAL GAME @ 6:30 p.m. TORONTO vs. BROCK SPECTATORS GUIDE Share Via Email Facebook Twitter Delivery Methods are not properly configured. Please contact the administrator. Ticket Options 2020 OUA Quigley Cup Ticket Type Price Quantity Adult $15.00 0 1 2 3 4 5 6 7 8 9 Senior (65+) $10.00 0 1 2 3 4 5 6 7 8 9 Youth (10-17) $10.00 0 1 2 3 4 5 6 7 8 9 LinkButton (416) 946-3811 blues.tickets@utoronto.ca AudienceView Campus AudienceView Campus Logo"
